HighestPathway	HigherPathway	Pathway	KO
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00001
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00002
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00003
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00005
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00007
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00008
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00009
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00010
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00011
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00012
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00013
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00014
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00015
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00016
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00018
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00019
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00020
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00021
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00022
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00023
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00024
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00025
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00026
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00028
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00029
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00030
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00031
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00032
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00033
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00034
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00035
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00036
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00037
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00038
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00039
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00040
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00041
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00042
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00043
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00044
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00045
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00048
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00049
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00051
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00052
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00053
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00055
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00058
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00059
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00060
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00061
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00062
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00063
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00064
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00065
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00066
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00067
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00068
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00070
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00071
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00072
Metabolism	Global and overview maps	01100 Metabolic pathways (4575)	K00073
