HighestModule	HigherModule	Module	KO
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K00134
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K00150
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K00844
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K00845
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K00850
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K00873
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K00886
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K00918
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K00927
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K01623
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K01624
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K01689
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K01803
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K01810
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K01834
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K06859
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K08074
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K11389
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K11645
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K12406
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K12407
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K13810
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K15633
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K15634
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K15635
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K15916
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K16305
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K16306
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K16370
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K21071
Carbohydrate metabolism	Central carbohydrate metabolism	M00001 Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate (31)  (complete 9/9)	K25026
Carbohydrate metabolism	Central carbohydrate metabolism	M00002 Glycolysis, core module involving three-carbon compounds (12)  (complete 5/5)	K00134
Carbohydrate metabolism	Central carbohydrate metabolism	M00002 Glycolysis, core module involving three-carbon compounds (12)  (complete 5/5)	K00150
Carbohydrate metabolism	Central carbohydrate metabolism	M00002 Glycolysis, core module involving three-carbon compounds (12)  (complete 5/5)	K00873
Carbohydrate metabolism	Central carbohydrate metabolism	M00002 Glycolysis, core module involving three-carbon compounds (12)  (complete 5/5)	K00927
Carbohydrate metabolism	Central carbohydrate metabolism	M00002 Glycolysis, core module involving three-carbon compounds (12)  (complete 5/5)	K01689
Carbohydrate metabolism	Central carbohydrate metabolism	M00002 Glycolysis, core module involving three-carbon compounds (12)  (complete 5/5)	K01803
Carbohydrate metabolism	Central carbohydrate metabolism	M00002 Glycolysis, core module involving three-carbon compounds (12)  (complete 5/5)	K01834
Carbohydrate metabolism	Central carbohydrate metabolism	M00002 Glycolysis, core module involving three-carbon compounds (12)  (complete 5/5)	K11389
Carbohydrate metabolism	Central carbohydrate metabolism	M00002 Glycolysis, core module involving three-carbon compounds (12)  (complete 5/5)	K12406
Carbohydrate metabolism	Central carbohydrate metabolism	M00002 Glycolysis, core module involving three-carbon compounds (12)  (complete 5/5)	K15633
Carbohydrate metabolism	Central carbohydrate metabolism	M00002 Glycolysis, core module involving three-carbon compounds (12)  (complete 5/5)	K15634
Carbohydrate metabolism	Central carbohydrate metabolism	M00002 Glycolysis, core module involving three-carbon compounds (12)  (complete 5/5)	K15635
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K00134
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K00150
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K00927
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K01086
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K01596
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K01610
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K01622
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K01623
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K01624
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K01689
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K01803
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K01834
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K02446
Carbohydrate metabolism	Central carbohydrate metabolism	M00003 Gluconeogenesis, oxaloacetate => fructose-6P (20)  (complete 7/7)	K03841
