gene	knum
gene_1	K25434
gene_2	K25433
gene_3	K25432
gene_4	K25431
gene_5	K25430
gene_6	K25429
gene_7	K25428
gene_8	K25427
gene_9	K25426
gene_10	K25425
gene_11	K25424
gene_12	K25423
gene_13	K25422
gene_14	K25421
gene_15	K25420
gene_16	K25419
gene_17	K25418
gene_18	K25417
gene_19	K25416
gene_20	K25415
gene_21	K25414
gene_22	K25413
gene_23	K25412
gene_24	K25411
gene_25	K25410
gene_26	K25409
gene_27	K25408
gene_28	K25407
gene_29	K25406
gene_30	K25387
gene_31	K25386
gene_32	K25385
gene_33	K25384
gene_34	K25383
gene_35	K25382
gene_36	K25381
gene_37	K25380
gene_38	K25379
gene_39	K25378
gene_40	K25377
gene_41	K25376
gene_42	K25375
gene_43	K25374
gene_44	K25373
gene_45	K25372
gene_46	K25371
gene_47	K25370
gene_48	K25369
gene_49	K25368
gene_50	K25367
gene_51	K25366
gene_52	K25365
gene_53	K25364
gene_54	K25363
gene_55	K25362
gene_56	K25361
gene_57	K25360
gene_58	K25359
gene_59	K25358
gene_60	K25357
gene_61	K25356
gene_62	K25355
gene_63	K25354
gene_64	K25353
gene_65	K25352
gene_66	K25351
gene_67	K25350
gene_68	K25349
gene_69	K25348
gene_70	K25347
gene_71	K25346
gene_72	K25345
gene_73	K25344
gene_74	K25343
gene_75	K25342
gene_76	K25341
gene_77	K25340
gene_78	K25339
gene_79	K25338
gene_80	K25337
gene_81	K25336
gene_82	K25335
gene_83	K25334
gene_84	K25333
gene_85	K25332
gene_86	K25331
gene_87	K25330
gene_88	K25329
gene_89	K25328
gene_90	K25327
gene_91	K25326
gene_92	K25325
gene_93	K25324
gene_94	K25323
gene_95	K25322
gene_96	K25321
gene_97	K25320
gene_98	K25319
gene_99	K25318
gene_100	K25317
gene_101	K25316
gene_102	K25315
gene_103	K25314
gene_104	K25313
gene_105	K25312
gene_106	K25311
gene_107	K25310
gene_108	K25309
gene_109	K25308
gene_110	K25307
gene_111	K25306
gene_112	K25305
gene_113	K25304
gene_114	K25303
gene_115	K25302
gene_116	K25301
gene_117	K25300
gene_118	K25299
gene_119	K25298
gene_120	K25297
gene_121	K25296
gene_122	K25295
gene_123	K25294
gene_124	K25293
gene_125	K25292
gene_126	K25291
gene_127	K25290
gene_128	K25289
gene_129	K25288
gene_130	K25287
gene_131	K25286
gene_132	K25285
gene_133	K25284
gene_134	K25283
gene_135	K25282
gene_136	K25281
gene_137	K25280
gene_138	K25279
gene_139	K25278
gene_140	K25277
gene_141	K25276
gene_142	K25275
gene_143	K25274
gene_144	K25273
gene_145	K25272
gene_146	K25271
gene_147	K25270
gene_148	K25269
gene_149	K25268
gene_150	K25267
gene_151	K25266
gene_152	K25265
gene_153	K25264
gene_154	K25263
gene_155	K25262
gene_156	K25261
gene_157	K25260
gene_158	K25259
gene_159	K25258
gene_160	K25257
gene_161	K25256
gene_162	K25255
gene_163	K25254
gene_164	K25253
gene_165	K25252
gene_166	K25251
gene_167	K25250
gene_168	K25249
gene_169	K25248
gene_170	K25247
gene_171	K25246
gene_172	K25245
gene_173	K25244
gene_174	K25243
gene_175	K25242
gene_176	K25241
gene_177	K25240
gene_178	K25239
gene_179	K25238
gene_180	K25237
gene_181	K25236
gene_182	K25235
gene_183	K25234
gene_184	K25233
gene_185	K25232
gene_186	K25231
gene_187	K25230
gene_188	K25229
gene_189	K25228
gene_190	K25227
gene_191	K25226
gene_192	K25225
gene_193	K25224
gene_194	K25223
gene_195	K25222
gene_196	K25221
gene_197	K25220
gene_198	K25219
gene_199	K25218
gene_200	K25217
gene_201	K25216
gene_202	K25215
gene_203	K25214
gene_204	K25213
gene_205	K25212
gene_206	K25211
gene_207	K25210
gene_208	K25209
gene_209	K25208
gene_210	K25207
gene_211	K25206
gene_212	K25205
gene_213	K25204
gene_214	K25203
gene_215	K25202
gene_216	K25201
gene_217	K25200
gene_218	K25199
gene_219	K25198
gene_220	K25197
gene_221	K25196
gene_222	K25195
gene_223	K25194
gene_224	K25193
gene_225	K25192
gene_226	K25191
gene_227	K25190
gene_228	K25189
gene_229	K25188
gene_230	K25187
gene_231	K25186
gene_232	K25185
gene_233	K25184
gene_234	K25183
gene_235	K25182
gene_236	K25181
gene_237	K25180
gene_238	K25179
gene_239	K25178
gene_240	K25177
gene_241	K25176
gene_242	K25175
gene_243	K25174
gene_244	K25173
gene_245	K25172
gene_246	K25171
gene_247	K25170
gene_248	K25169
gene_249	K25168
gene_250	K25167
gene_251	K25166
gene_252	K25165
gene_253	K25164
gene_254	K25163
gene_255	K25162
gene_256	K25161
gene_257	K25160
gene_258	K25159
gene_259	K25158
gene_260	K25157
gene_261	K25156
gene_262	K25155
gene_263	K25154
gene_264	K25153
gene_265	K25152
gene_266	K25151
gene_267	K25150
gene_268	K25149
gene_269	K25148
gene_270	K25147
gene_271	K25146
gene_272	K25145
gene_273	K25144
gene_274	K25143
gene_275	K25142
gene_276	K25141
gene_277	K25140
gene_278	K25139
gene_279	K25138
gene_280	K25137
gene_281	K25136
gene_282	K25135
gene_283	K25134
gene_284	K25133
gene_285	K25132
gene_286	K25130
gene_287	K25129
gene_288	K25128
gene_289	K25127
gene_290	K25126
gene_291	K25125
gene_292	K25124
gene_293	K25123
gene_294	K25122
gene_295	K25121
gene_296	K25120
gene_297	K25119
gene_298	K25118
gene_299	K25117
gene_300	K25116
gene_301	K25115
gene_302	K25114
gene_303	K25113
gene_304	K25112
gene_305	K25111
gene_306	K25110
gene_307	K25109
gene_308	K25108
gene_309	K25107
gene_310	K25106
